form	count	english candidates	example
tisbita	1	leather (1.00), hairy (0.33), girt (0.33), tishbite (0.29)	2 Reis 1:8 — And they answered him, He was an hairy man, and girt with a girdle of leather about his loins. And he said, It is Elijah the Tishbite.
fundeiros	1	kir-haraseth (1.00), slingers (1.00), felled (0.67), wells (0.15)	2 Reis 3:25 — And they beat down the cities, and on every good piece of land cast every man his stone, and filled it; and they stopped all the wells of water, and f
parra	1	gourds (1.00), shred (1.00), lap (0.50), pottage (0.25)	2 Reis 4:39 — And one went out into the field to gather herbs, and found a wild vine, and gathered thereof wild gourds his lap full, and came and shred them into th
colocíntidas	1	gourds (1.00), shred (1.00), lap (0.50), pottage (0.25)	2 Reis 4:39 — And one went out into the field to gather herbs, and found a wild vine, and gathered thereof wild gourds his lap full, and came and shred them into th
baal-salisa	1	baal-shalisha (1.00), husk (0.67), loaves (0.06), firstfruits (0.06)	2 Reis 4:42 — And there came a man from Baal-shalisha, and brought the man of God bread of the firstfruits, twenty loaves of barley, and full ears of corn in the hu
farfar	1	abana (1.00), pharpar (1.00), rage (0.10), damascus (0.03)	2 Reis 5:12 — Are not Abana and Pharpar, rivers of Damascus, better than all the waters of Israel? may I not wash in them, and be clean? So he turned and went away 
alí	1	syrians (0.04), alive (0.02), famine (0.02), kill (0.01)	2 Reis 7:4 — If we say, We will enter into the city, then the famine is in the city, and we shall die there: and if we sit still here, we die also. Now therefore c
zair	1	zair (1.00), edomites (0.14), joram (0.09), compassed (0.05)	2 Reis 8:21 — So Joram went over to Zair, and all the chariots with him: and he rose by night, and smote the Edomites which compassed him about, and the captains of
envia-lho	1	horseman (0.67), spied (0.29), watchman (0.10), joram (0.09)	2 Reis 9:17 — And there stood a watchman on the tower in Jezreel, and he spied the company of Jehu as he came, and said, I see a company. And Joram said, Take an ho
bidcar	1	bidkar (1.00), jezreelite (0.22), rode (0.13), naboth (0.11)	2 Reis 9:25 — Then said Jehu to Bidkar his captain, Take up, and cast him in the portion of the field of Naboth the Jezreelite: for remember how that, when I and th
gur	1	gur (1.00), ibleam (0.50), megiddo (0.17), ahaziah (0.06)	2 Reis 9:27 — But when Ahaziah the king of Judah saw this, he fled by the way of the garden house. And Jehu followed after him, and said, Smite him also in the char
ibleão	1	gur (1.00), ibleam (0.50), megiddo (0.17), ahaziah (0.06)	2 Reis 9:27 — But when Ahaziah the king of Judah saw this, he fled by the way of the garden house. And Jehu followed after him, and said, Smite him also in the char
jeoseba	1	jehosheba (1.00), bedchamber (0.29), stole (0.20), nurse (0.20)	2 Reis 11:2 — But Jehosheba, the daughter of king Joram, sister of Ahaziah, took Joash the son of Ahaziah, and stole him from among the king's sons which were slain
eletomou	1	hundreds (0.06), guard (0.03), rulers (0.02), captains (0.02)	2 Reis 11:19 — And he took the rulers over hundreds, and the captains, and the guard, and all the people of the land; and they brought down the king from the house o
arrolamento	1	jehoash (0.12), dedicated (0.07), passeth (0.05), account (0.02)	2 Reis 12:4 — And Jehoash said to the priests, All the money of the dedicated things that is brought into the house of the LORD, even the money of every one that pa
sila	1	silla (1.00), millo (0.20), conspiracy (0.14), joash (0.05)	2 Reis 12:20 — And his servants arose, and made a conspiracy, and slew Joash in the house of Millo, which goeth down to Silla.
jozacar	1	jozachar (1.00), shimeath (0.67), shomer (0.67), jehozabad (0.40)	2 Reis 12:21 — For Jozachar the son of Shimeath, and Jehozabad the son of Shomer, his servants, smote him, and he died; and they buried him with his fathers in the c
jeoadã	1	jehoaddan (0.67), nine (0.03), mother's (0.03), reigned (0.01)	2 Reis 14:2 — He was twenty and five years old when he began to reign, and reigned twenty and nine years in Jerusalem. And his mother's name was Jehoaddan of Jerusa
arié	1	arieh (1.00), gileadites (0.40), argob (0.33), pekah (0.15)	2 Reis 15:25 — But Pekah the son of Remaliah, a captain of his, conspired against him, and smote him in Samaria, in the palace of the king's house, with Argob and Ar
ava	1	cuthah (1.00), ava (1.00), sepharvaim (0.29), hamath (0.06)	2 Reis 17:24 — And the king of Assyria brought men from Babylon, and from Cuthah, and from Ava, and from Hamath, and from Sepharvaim, and placed them in the cities o
sucote-benote	1	succoth-benoth (1.00), cuth (1.00), nergal (1.00), ashima (1.00)	2 Reis 17:30 — And the men of Babylon made Succoth-benoth, and the men of Cuth made Nergal, and the men of Hamath made Ashima,
nergal	1	succoth-benoth (1.00), cuth (1.00), nergal (1.00), ashima (1.00)	2 Reis 17:30 — And the men of Babylon made Succoth-benoth, and the men of Cuth made Nergal, and the men of Hamath made Ashima,
asima	1	succoth-benoth (1.00), cuth (1.00), nergal (1.00), ashima (1.00)	2 Reis 17:30 — And the men of Babylon made Succoth-benoth, and the men of Cuth made Nergal, and the men of Hamath made Ashima,
nibaz	1	nibhaz (1.00), tartak (1.00), sepharvites (1.00), anammelech (1.00)	2 Reis 17:31 — And the Avites made Nibhaz and Tartak, and the Sepharvites burnt their children in fire to Adrammelech and Anammelech, the gods of Sepharvaim.
tartaque	1	nibhaz (1.00), tartak (1.00), sepharvites (1.00), anammelech (1.00)	2 Reis 17:31 — And the Avites made Nibhaz and Tartak, and the Sepharvites burnt their children in fire to Adrammelech and Anammelech, the gods of Sepharvaim.
sefarvitas	1	nibhaz (1.00), tartak (1.00), sepharvites (1.00), anammelech (1.00)	2 Reis 17:31 — And the Avites made Nibhaz and Tartak, and the Sepharvites burnt their children in fire to Adrammelech and Anammelech, the gods of Sepharvaim.
anameleque	1	nibhaz (1.00), tartak (1.00), sepharvites (1.00), anammelech (1.00)	2 Reis 17:31 — And the Avites made Nibhaz and Tartak, and the Sepharvites burnt their children in fire to Adrammelech and Anammelech, the gods of Sepharvaim.
abi	1	abi (1.00), zachariah (0.40), nine (0.03), mother's (0.03)	2 Reis 18:2 — Twenty and five years old was he when he began to reign; and he reigned twenty and nine years in Jerusalem. His mother's name also was Abi, the daught
neustã	1	nehushtan (1.00), groves (0.08), brasen (0.07), serpent (0.04)	2 Reis 18:4 — He removed the high places, and brake the images, and cut down the groves, and brake in pieces the brasen serpent that Moses had made: for unto those 
lavadeiro	1	rabsaris (1.00), tartan (0.67), fuller's (0.40), conduit (0.29)	2 Reis 18:17 — And the king of Assyria sent Tartan and Rabsaris and Rabshakeh from Lachish to king Hezekiah with a great host against Jerusalem. And they went up and
berodaque-baladã	1	berodach-baladan (1.00), baladan (0.67), letters (0.06), sick (0.02)	2 Reis 20:12 — At that time Berodach-baladan, the son of Baladan, king of Babylon, sent letters and a present unto Hezekiah: for he had heard that Hezekiah had been 
hefzibá	1	hephzi-bah (0.67), mother's (0.03), manasseh (0.01), fifty (0.01)	2 Reis 21:1 — Manasseh was twelve years old when he began to reign, and reigned fifty and five years in Jerusalem. And his mother's name was Hephzi-bah.
mesulemete	1	meshullemeth (1.00), haruz (1.00), jotbah (1.00), amon (0.11)	2 Reis 21:19 — Amon was twenty and two years old when he began to reign, and he reigned two years in Jerusalem. And his mother's name was Meshullemeth, the daughter 
haruz	1	meshullemeth (1.00), haruz (1.00), jotbah (1.00), amon (0.11)	2 Reis 21:19 — Amon was twenty and two years old when he began to reign, and he reigned two years in Jerusalem. And his mother's name was Meshullemeth, the daughter 
jotbá	1	meshullemeth (1.00), haruz (1.00), jotbah (1.00), amon (0.11)	2 Reis 21:19 — Amon was twenty and two years old when he began to reign, and he reigned two years in Jerusalem. And his mother's name was Meshullemeth, the daughter 
jedida	1	jedidah (1.00), boscath (1.00), adaiah (0.20), josiah (0.04)	2 Reis 22:1 — Josiah was eight years old when he began to reign, and he reigned thirty and one years in Jerusalem. And his mother's name was Jedidah, the daughter o
boscate	1	jedidah (1.00), boscath (1.00), adaiah (0.20), josiah (0.04)	2 Reis 22:1 — Josiah was eight years old when he began to reign, and he reigned thirty and one years in Jerusalem. And his mother's name was Jedidah, the daughter o
azalias	1	azaliah (0.67), eighteenth (0.11), shaphan (0.08), meshullam (0.08)	2 Reis 22:3 — And it came to pass in the eighteenth year of king Josiah, that the king sent Shaphan the son of Azaliah, the son of Meshullam, the scribe, to the hou
natã-meleque	1	nathan-melech (1.00), chamberlain (0.29), entering (0.04), chamber (0.04)	2 Reis 23:11 — And he took away the horses that the kings of Judah had given to the sun, at the entering in of the house of the LORD, by the chamber of Nathan-melech
masite	1	ashtoreth (0.50), milcom (0.50), chemosh (0.22), zidonians (0.20)	2 Reis 23:13 — And the high places that were before Jerusalem, which were on the right hand of the mount of corruption, which Solomon the king of Israel had builded 
zebida	1	zebudah (1.00), rumah (1.00), pedaiah (0.22), eleven (0.07)	2 Reis 23:36 — Jehoiakim was twenty and five years old when he began to reign; and he reigned eleven years in Jerusalem. And his mother's name was Zebudah, the daugh
neusta	1	nehushta (1.00), elnathan (0.33), jehoiachin (0.22), eighteen (0.07)	2 Reis 24:8 — Jehoiachin was eighteen years old when he began to reign, and he reigned in Jerusalem three months. And his mother's name was Nehushta, the daughter o
intercessão	1	inflicting (1.00), opposition (0.40), affixed (0.29), intercession (0.14)	2 Néfi 2:10 — And because of the intercession for all, all men come unto God; wherefore, they stand in the presence of him to be judged of him according to the trut
moribundo	1	dying (0.25), amen (0.01), hearken (0.01), remember (0.01)	2 Néfi 3:25 — And now, blessed art thou, Joseph. Behold, thou art little; wherefore hearken unto the words of thy brother, Nephi, and it shall be done unto thee eve
impropriamente	1	amiss (0.29), liberally (0.25), asketh (0.12), ascend (0.10)	2 Néfi 4:35 — Yea, I know that God will give liberally to him that asketh. Yea, my God will give me, if I ask not amiss; therefore I will lift up my voice unto thee
embebedados	1	oppress (0.07), savior (0.06), drunken (0.04), redeemer (0.02)	2 Néfi 6:18 — And I will feed them that oppress thee, with their own flesh; and they shall be drunken with their own blood as with sweet wine; and all flesh shall k
açoitadores	1	smiter (1.00), spitting (0.50), cheeks (0.17), plucked (0.07)	2 Néfi 7:6 — I gave my back to the smiter, and my cheeks to them that plucked off the hair. I hid not my face from shame and spitting.
tilintantes	1	cauls (0.67), bravery (0.50), tires (0.50), tinkling (0.33)	2 Néfi 13:18 — In that day the Lord will take away the bravery of their tinkling ornaments, and cauls, and round tires like the moon;
coifas	1	cauls (0.67), bravery (0.50), tires (0.50), tinkling (0.33)	2 Néfi 13:18 — In that day the Lord will take away the bravery of their tinkling ornaments, and cauls, and round tires like the moon;
toucados	1	headbands (0.67), tablets (0.40), bonnets (0.25), ornaments (0.11)	2 Néfi 13:20 — The bonnets, and the ornaments of the legs, and the headbands, and the tablets, and the ear– rings;
penteados	1	stomacher (0.67), girding (0.50), baldness (0.18), stink (0.15)	2 Néfi 13:24 — And it shall come to pass, instead of sweet smell there shall be stink; and instead of a girdle, a rent; and instead of well set hair,  baldness; and 
corpete	1	stomacher (0.67), girding (0.50), baldness (0.18), stink (0.15)	2 Néfi 13:24 — And it shall come to pass, instead of sweet smell there shall be stink; and instead of a girdle, a rent; and instead of well set hair,  baldness; and 
chamejante	1	create (0.20), assemblies (0.20), shining (0.13), defense (0.13)	2 Néfi 14:5 — And the Lord will create upon every dwelling–place of mount Zion, and upon her assemblies, a cloud and smoke by day and the shining of a flaming fire 
claudicantes	1	swiftly (0.29), ensign (0.13), speed (0.11), hiss (0.10)	2 Néfi 15:26 — And he will lift up an ensign to the nations from far, and will hiss unto them from the end of the earth; and behold, they shall come with speed swift
entenebrecimento	1	dimness (0.40), grievously (0.22), lightly (0.14), vexation (0.12)	2 Néfi 19:1 — Nevertheless, the dimness shall not be such as was in her vexation, when at first he lightly afflicted the land of Zebulun, and the land of Naphtali, 
